scooter_name,brand,variant,ex_showroom_price_inr,battery_capacity_kwh,range_km,top_speed_kmph,charging_time_hrs,motor_power,kerb_weight_kg,bluetooth,navigation,riding_modes,fast_charging,url,segment,brand_value,brand_country,brand_model_count,price_per_km,performance_score,brand_encoded
TVS iQube,TVS,Bajaj Chetak C2501,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/tvs/iqube-electric,mid,9,India,5,1226.8297872340424,68.47999999999999,68
Bajaj Chetak,Bajaj,Bajaj Chetak C2501,107400.0,3.0,127.0,63.0,350.0,7.0,97.5,1,0,True,1,https://www.bikedekho.com/bajaj/chetak,mid,8,India,2,845.6692913385826,77.4,8
Ather Rizta,Ather,Bajaj Chetak C2501,75999.0,2.9,123.0,80.0,830.0,4.3,125.0,1,1,True,0,https://www.bikedekho.com/ather-energy/rizta,budget,9,India,4,617.8780487804878,82.06,4
Ather 450X,Ather,450X EMI,147999.0,2.9,126.0,90.0,4.3,6.4,108.0,0,0,False,1,https://www.bikedekho.com/ather-energy/450x,premium,9,India,4,1174.595238095238,87.68,4
Honda Activa e,Honda,Bajaj Chetak C2501,118147.0,3.0,102.0,80.0,8.15,6.0,118.0,0,0,True,0,https://www.bikedekho.com/honda/activa-electric,mid,5,Unknown,3,1158.3039215686274,74.00000000000001,32
Vida VX2,Vida,VX2 EMI,44990.0,2.2,92.0,70.0,241.0,7.0,97.5,1,1,False,1,https://www.bikedekho.com/vida/vx2,budget,5,Unknown,3,489.0217391304348,66.20000000000002,75
Ola S1 Pro,Ola,S1 Pro EMI,116881.0,3.0,176.0,117.0,715.0,11.0,109.0,1,1,True,0,https://www.bikedekho.com/ola-electric/s1-pro,mid,8,India,3,664.0965909090909,119.40000000000002,51
TVS Orbiter,TVS,Bajaj Chetak C2501,91550.0,1.8,86.0,68.0,220.0,1.8,101.0,1,1,True,0,https://www.bikedekho.com/tvs/orbiter,mid,9,India,5,1064.5348837209303,61.96,68
Ola S1 X,Ola,S1 X EMI,84999.0,2.0,108.0,101.0,450.0,7.0,105.0,1,1,True,0,https://www.bikedekho.com/ola-electric/s1x,budget,8,India,3,787.0277777777778,85.00000000000001,51
Simple One,Simple,launched the new Simple One S Gen 2 in India,189999.0,5.0,265.0,115.0,520.0,8.8,129.0,1,1,True,1,https://www.bikedekho.com/simple-energy/simple-one,premium,5,Unknown,3,716.9773584905661,153.76,63
Green Udaan,Green,Komaki XR1,24499.0,0.53,30.0,25.0,8.15,250.0,51.0,0,0,False,0,https://www.bikedekho.com/green-ev/udaan,budget,5,Unknown,3,816.6333333333333,72.0,26
TVS iQube ST,TVS,Ather 450X,170984.0,5.3,212.0,82.0,650.0,4.4,132.0,1,1,True,1,https://www.bikedekho.com/tvs/iqube-st,premium,9,India,5,806.5283018867924,118.48000000000002,68
TVS iQube S,TVS,Ather 450X,139642.0,3.5,145.0,78.0,3.0,4.4,118.6,1,1,True,1,https://www.bikedekho.com/tvs/iqube-s,mid,9,India,5,963.048275862069,90.08,68
Komaki X One,Komaki,Vida VX2,34999.0,1.63,60.0,25.0,8.15,7.0,97.5,1,0,True,0,https://www.bikedekho.com/komaki/xone,budget,5,Unknown,3,583.3166666666667,35.4,39
Suzuki e Access,Suzuki,Ather 450X,188490.0,3.07,95.0,71.0,430.0,4.1,122.0,1,1,True,1,https://www.bikedekho.com/suzuki/e-access,premium,5,Unknown,3,1984.1052631578948,67.22,67
Bajaj Chetak C2501,Bajaj,Chetak C2501 EMI,91399.0,2.5,113.0,55.0,2.25,7.0,107.0,1,0,True,1,https://www.bikedekho.com/bajaj/chetak-c2501,mid,8,India,2,808.8407079646017,68.60000000000001,8
Yakuza Rubie,Yakuza,Vida VX2,35280.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/rubie,budget,5,Unknown,3,641.4545454545455,82.0,79
Ola S1 Z,Ola,S1 Z EMI,59999.0,3.0,146.0,70.0,8.15,3.0,97.5,0,0,False,1,https://www.bikedekho.com/ola-electric/s1-z,budget,8,India,3,410.95205479452056,87.0,51
Ultraviolette Tesseract,Ultraviolette,Ather 450X,145000.0,3.5,162.0,125.0,8.15,14.91,97.5,1,1,False,1,https://www.bikedekho.com/ultraviolette/tesseract,premium,5,Unknown,3,895.0617283950618,117.782,70
Vida V2,Vida,V2 EMI,120300.0,3.94,165.0,90.0,555.0,6.0,125.0,1,0,True,1,https://www.bikedekho.com/vida/vida-v2,mid,5,Unknown,3,729.0909090909091,103.2,75
Yamaha EC-06,Yamaha,EC-06 EMI,167600.0,4.0,169.0,79.0,10.0,4.5,132.0,1,0,True,0,https://www.bikedekho.com/yamaha/ec-06,premium,5,Unknown,3,991.7159763313609,100.10000000000002,80
Kinetic Green E Luna,Kinetic,Bajaj Chetak C2501,69990.0,2.3,110.0,50.0,8.15,2.2,96.0,0,0,False,0,https://www.bikedekho.com/kinetic-green/e-luna,budget,5,Unknown,3,636.2727272727273,64.44,38
River Indie,River,unveiled the Yamaha EC-06 in India,145999.0,4.0,163.0,90.0,8.0,6.7,97.5,0,0,True,1,https://www.bikedekho.com/river/river-electric-scooter,premium,5,Unknown,3,895.6993865030674,102.54,58
Simple Ultra,Simple,Ather 450 Apex,234999.0,6.5,400.0,115.0,8.15,8.8,97.5,0,1,True,0,https://www.bikedekho.com/simple-energy/simple-ultra,premium,5,Unknown,3,587.4975,207.76,63
Ola S1 Pro Sport,Ola,S1 Pro Sport EMI,149999.0,4.0,242.0,128.0,8.15,5.5,116.0,1,1,True,0,https://www.bikedekho.com/ola-electric/s1-pro-sport,premium,8,India,3,619.8305785123966,149.1,51
Hero Electric Optima,Hero,Bajaj Chetak C2501,83300.0,2.0,89.0,48.0,8.15,1.2,93.0,0,0,False,0,https://www.bikedekho.com/hero-electric/optima,budget,5,Unknown,3,935.9550561797753,55.040000000000006,31
Ampere Magnus Grand,Ampere,Bajaj Chetak C2501,89999.0,2.3,85.0,65.0,5.0,2.4,108.0,0,0,True,0,https://www.bikedekho.com/ampere/magnus-grand,budget,6,India,5,1058.8117647058823,60.48,3
Ola S1 X Plus,Ola,S1 X Plus EMI,112881.0,4.0,242.0,125.0,450.0,11.0,113.0,1,1,True,1,https://www.bikedekho.com/ola-electric/s1-x-plus,mid,8,India,3,466.4504132231405,149.0,51
Ather 450S,Ather,450S EMI,84341.0,2.9,122.0,90.0,5.3,5.4,108.0,0,0,False,1,https://www.bikedekho.com/ather-energy/450s,budget,9,India,4,691.3196721311475,85.88000000000001,4
Bajaj Chetak vs TVS iQube,Bajaj,Ather 450X,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-iqube-electric,mid,8,India,2,845.6692913385826,77.4,8
Bajaj Chetak vs Ather Rizta,Bajaj,Ather 450X,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-rizta,mid,8,India,2,845.6692913385826,77.4,8
Ather 450X vs Ather Rizta,Ather,Ather 450X,147999.0,2.9,126.0,90.0,4.3,6.4,108.0,0,0,False,1,https://www.bikedekho.com/compare/450x-vs-rizta,premium,9,India,4,1174.595238095238,87.68,4
Ather 450X vs Honda Activa e,Ather,Ather 450X,147999.0,2.9,126.0,90.0,4.3,6.4,108.0,0,0,False,1,https://www.bikedekho.com/compare/450x-vs-activa-electric,premium,9,India,4,1174.595238095238,87.68,4
Honda Activa e vs Ola S1 Pro,Honda,Ola S1 Pro,118147.0,3.0,102.0,80.0,8.15,6.0,118.0,0,0,True,0,https://www.bikedekho.com/compare/activa-electric-vs-s1-pro,mid,5,Unknown,3,1158.3039215686274,74.00000000000001,32
Electric Bikes News,Electric,"Ola S1 X+ 5.2kWh Launched In India at Rs 1,29,999",129999.0,2.02,123.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/news/electric-bikes,mid,5,Unknown,3,1056.9024390243903,70.60000000000001,17
Ultraviolette F77,Ultraviolette,F77 EMI,199000.0,7.1,211.0,155.0,8.15,27.0,197.0,1,0,True,1,https://www.bikedekho.com/ultraviolette/f77,premium,5,Unknown,3,943.127962085308,151.8,70
Revolt RV400,Revolt,RV400 EMI,139950.0,3.24,150.0,85.0,3.3,4.1,115.0,1,1,True,0,https://www.bikedekho.com/revolt/rv-400,mid,5,Unknown,3,933.0,94.82,57
Ola Roadster,Ola,Revolt RV400,104999.0,3.5,151.0,116.0,8.15,13.0,97.5,1,1,True,0,https://www.bikedekho.com/ola-electric/ola-roadster,mid,8,India,3,695.3576158940398,109.4,51
Royal Enfield Flying Flea C6,Royal,Flying Flea C6 EMI,199000.0,3.91,154.0,115.0,8.15,15.4,124.0,1,1,False,0,https://www.bikedekho.com/royal-enfield/flying-flea-c6,premium,5,Unknown,3,1292.2077922077922,110.67999999999999,60
Ather EL01,Ather,Bajaj Chetak C2501,99000.0,2.02,123.0,50.0,8.15,7.0,97.5,0,0,True,1,https://www.bikedekho.com/ather-energy/el01,mid,9,India,4,804.8780487804878,70.60000000000001,4
Suzuki Burgman Electric,Suzuki,Bajaj Chetak C2501,120000.0,2.02,123.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/suzuki/burgman-electric,mid,5,Unknown,3,975.609756097561,70.60000000000001,67
Simple Family Electric Scooter,Simple,Bajaj Chetak C2501,100000.0,2.02,123.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/simple-energy/family-electric-scooter,mid,5,Unknown,3,813.0081300813008,70.60000000000001,63
Hero Electric AE-8,Hero,Bajaj Chetak C2501,79990.0,2.02,80.0,45.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/hero-electric/ae-8,premium,5,Unknown,3,999.875,51.4,31
Upcoming Electric Scooters,Upcoming,Ather EL01,1878.0,2.02,123.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/upcoming-scooters/electric,budget,5,Unknown,3,15.268292682926829,70.60000000000001,71
Komaki XR7,Komaki,XR7 EMI,89999.0,2.02,322.0,55.0,8.15,3.0,97.5,0,0,False,0,https://www.bikedekho.com/komaki/xr7,budget,5,Unknown,3,279.5,151.4,39
Ather 450 Apex,Ather,450 Apex EMI,189946.0,3.7,157.0,100.0,5.45,7.0,111.6,1,1,True,1,https://www.bikedekho.com/ather-energy/450-apex,premium,9,India,4,1209.8471337579617,104.20000000000002,4
Yulu Wynn,Yulu,Hero Vida VX2,55555.0,0.98,68.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yulu/wynn,budget,5,Unknown,3,816.9852941176471,87.2,82
Ampere Nexus,Ampere,Bajaj Chetak C2501,119900.0,3.0,100.0,93.0,8.15,4.0,97.5,1,0,True,1,https://www.bikedekho.com/ampere/nexus,mid,6,India,5,1199.0,78.0,3
Hero Electric Flash,Hero,Vida VX2,59640.0,1.54,85.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/hero-electric/flash,budget,5,Unknown,3,701.6470588235294,94.0,31
Zelio Eeva,Zelio,Vida VX2,50000.0,1.92,80.0,50.0,8.15,7.0,80.0,0,0,False,0,https://www.bikedekho.com/zelio/eeva,budget,5,Unknown,3,625.0,53.4,83
BGauss Max C12,BGauss,Max C12 EMI,104740.0,2.0,85.0,60.0,8.15,2.5,106.0,0,0,True,0,https://www.bikedekho.com/bgauss/c12i-max,mid,5,Unknown,3,1232.235294117647,58.5,6
Yakuza Neu,Yakuza,Vida VX2,36960.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/neu,budget,5,Unknown,3,672.0,82.0,79
Ola S1 Pro Plus,Ola,S1 Pro Plus EMI,155720.0,4.0,242.0,128.0,450.0,13.0,116.0,1,1,True,1,https://www.bikedekho.com/ola-electric/s1-pro-plus,premium,8,India,3,643.4710743801653,150.6,51
Ampere Magnus Neo,Ampere,Bajaj Chetak C2501,86999.0,2.3,85.0,65.0,5.0,2.4,108.0,0,0,True,0,https://www.bikedekho.com/ampere/magnus-neo,budget,6,India,5,1023.5176470588235,60.48,3
TVS X,TVS,Ather 450 Apex,263880.0,4.44,140.0,105.0,430.0,7.0,97.5,1,1,True,1,https://www.bikedekho.com/tvs/x-electric-scooter,premium,9,India,5,1884.857142857143,99.4,68
Ampere Magnus G Max,Ampere,Bajaj Chetak C2501,97999.0,3.0,110.0,65.0,5.45,2.4,97.5,0,0,True,0,https://www.bikedekho.com/ampere/magnus-g-max,mid,6,India,5,890.9,70.48,3
Ampere Reo,Ampere,Vida VX2,59900.0,1.44,80.0,25.0,4.0,250.0,71.4,0,0,True,0,https://www.bikedekho.com/ampere/reo,budget,6,India,5,748.75,92.0,3
Bounce Infinity E.1,Bounce,Infinity E.1 EMI,55000.0,1.9,70.0,65.0,8.15,2.2,94.0,1,0,True,0,https://www.bikedekho.com/bounce/e-scooter,budget,5,Unknown,3,785.7142857142857,54.44,10
Honda QC1,Honda,QC1 EMI,90022.0,1.5,80.0,50.0,650.0,1.8,89.5,0,0,True,0,https://www.bikedekho.com/honda/qc1,mid,5,Unknown,3,1125.275,52.36,32
Green Sunny,Green,Komaki XR1,26499.0,1.34,40.0,25.0,8.15,250.0,51.0,0,0,False,0,https://www.bikedekho.com/green-ev/sunny,budget,5,Unknown,3,662.475,76.0,26
Kinetic DX EV,Kinetic,Bajaj Chetak C2501,111499.0,2.5,102.0,80.0,4.0,4.7,97.5,1,0,True,0,https://www.bikedekho.com/kinetic/dx,mid,5,Unknown,3,1093.1274509803923,73.74000000000001,38
Okinawa PraisePro,Okinawa,Ola S1 Z,84443.0,2.08,81.0,56.0,8.15,1.0,97.5,0,0,False,0,https://www.bikedekho.com/okinawa/praisepro,budget,5,Unknown,3,1042.5061728395062,55.0,50
Warivo Nova,Warivo,Vida VX2,55999.0,2.02,60.0,25.0,8.15,250.0,97.5,0,0,True,0,https://www.bikedekho.com/warivo-motor/nova,budget,5,Unknown,3,933.3166666666667,84.0,76
Sokudo Acute,Sokudo,Bajaj Chetak C2501,111889.0,3.1,150.0,70.0,8.15,2.3,109.0,0,0,True,1,https://www.bikedekho.com/sokudo/acute,mid,5,Unknown,3,745.9266666666666,88.46,64
Lectrix NDuro,Lectrix,Ola S1X,59999.0,2.3,90.0,65.0,8.15,7.0,97.5,1,1,True,0,https://www.bikedekho.com/lectrix-ev/nduro,budget,5,Unknown,3,666.6555555555556,63.4,41
Lectrix EV ZYRO,Lectrix,Vida VX2,46999.0,1.5,85.0,50.0,8.15,7.0,97.5,0,0,False,1,https://www.bikedekho.com/lectrix-ev/zyro,budget,5,Unknown,3,552.9294117647058,55.4,41
Ozotec Flio,Ozotec,Bajaj Chetak C2501,79990.0,2.0,100.0,70.0,8.15,7.0,93.0,0,0,True,1,https://www.bikedekho.com/ozotec/flio,budget,5,Unknown,3,799.9,69.4,54
Hero Electric Atria,Hero,Bajaj Chetak C2501,77690.0,1.54,85.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/hero-electric/atria,budget,5,Unknown,3,914.0,94.0,31
TVS iQube vs Komaki XR7,TVS,Komaki XR7,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/compare/iqube-electric-vs-xr7,mid,9,India,5,1226.8297872340424,68.47999999999999,68
Ather 450 Apex vs Ather 450X,Ather,Ather 450 Apex,189946.0,3.7,157.0,100.0,5.45,7.0,111.6,1,1,True,1,https://www.bikedekho.com/compare/450-apex-vs-450x,premium,9,India,4,1209.8471337579617,104.20000000000002,4
Vida VX2 vs Yulu Wynn,Vida,Vida VX2,44990.0,2.2,92.0,70.0,3.53,7.0,97.5,1,1,False,1,https://www.bikedekho.com/compare/vx2-vs-wynn,budget,5,Unknown,3,489.0217391304348,66.20000000000002,75
TVS Orbiter vs Komaki XGT CAT 2.0,TVS,Komaki XGT CAT 2.0,91550.0,1.8,86.0,68.0,8.15,1.8,101.0,1,1,True,0,https://www.bikedekho.com/compare/orbiter-vs-xgt-cat-2,mid,9,India,5,1064.5348837209303,61.96,68
Bajaj Chetak vs Ampere Nexus,Bajaj,Ather 450X,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-nexus,mid,8,India,2,845.6692913385826,77.4,8
Vespa Electric Scooter,Vespa,Ather 450X,170000.0,2.02,100.0,70.0,8.15,3.6,97.5,1,0,True,0,https://www.bikedekho.com/vespa/elettrica,premium,5,Unknown,3,1700.0,68.72,74
Yo Electron DX,Yo,Vida VX2,56000.0,0.34,60.0,25.0,8.15,250.0,88.0,0,0,True,0,https://www.bikedekho.com/yobykes/electron-dx,budget,5,Unknown,3,933.3333333333334,84.0,81
Hero Electric Photon,Hero,Bajaj Chetak C2501,110891.0,1.87,90.0,45.0,8.15,1.8,116.0,0,0,False,0,https://www.bikedekho.com/hero-electric/photon,mid,5,Unknown,3,1232.1222222222223,54.36,31
Zelio Legender,Zelio,Vida VX2,65000.0,2.02,60.0,25.0,4.0,250.0,97.5,0,0,True,1,https://www.bikedekho.com/zelio/legender,budget,5,Unknown,3,1083.3333333333333,84.0,83
Deltic Drixx,Deltic,Vida VX2,64990.0,1.68,70.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/deltic/drixx,budget,5,Unknown,3,928.4285714285714,88.0,13
Yakuza Viraj,Yakuza,Vida VX2,38420.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/viraj,budget,5,Unknown,3,698.5454545454545,82.0,79
Ujaas eGo LA,Ujaas,Vida VX2,39880.0,1.56,75.0,50.0,67.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/ujaas-energy/ego,budget,5,Unknown,3,531.7333333333333,100.0,69
Kyte Energy Magnum,Kyte,Vida VX2,64360.0,3.2,70.0,45.0,8.15,2.4,105.0,0,0,False,1,https://www.bikedekho.com/kyte-energy/magnum-pro,budget,5,Unknown,3,919.4285714285714,46.48,40
Kinetic Green Zing,Kinetic,Bajaj Chetak C2501,71990.0,1.4,70.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/kinetic-green/zing,budget,5,Unknown,3,1028.4285714285713,88.0,38
