scooter_name,brand,variant,ex_showroom_price_inr,battery_capacity_kwh,range_km,top_speed_kmph,charging_time_hrs,motor_power,kerb_weight_kg,bluetooth,navigation,riding_modes,fast_charging,url,segment,brand_value,brand_country,brand_model_count,price_per_km,performance_score,brand_encoded
Li-ions Spock Electric Scooter vs Vida VX2,Li-ions,Vida VX2,65000.0,2.88,130.0,45.0,4.0,2.0,90.0,0,1,True,0,https://www.bikedekho.com/compare/spock-electric-scooter-vs-vx2,budget,5,Unknown,3,500.0,70.4,42
Yakuza Parinda vs Ola S1 Z,Yakuza,Ola S1 Z,58800.0,2.02,55.0,25.0,68.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/compare/parinda-vs-s1-z,budget,5,Unknown,3,1069.090909090909,82.0,79
TVS iQube vs AMO Electric Jaunty I-Pro,TVS,Ather 450X,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/compare/iqube-electric-vs-jaunty-i-pro,mid,9,India,5,1226.8297872340424,68.47999999999999,68
Yakuza Aqaba vs Komaki X One,Yakuza,Vida VX2,54600.0,2.02,55.0,25.0,68.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/compare/aqaba-vs-xone,budget,5,Unknown,3,992.7272727272727,82.0,79
Bajaj Chetak vs Komaki TN-95,Bajaj,Komaki TN-95,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-tn-95,mid,8,India,2,845.6692913385826,77.4,8
Hayasa Nirbhar,Hayasa,Bajaj Chetak C2501,80550.0,1.6,90.0,25.0,8.15,230.0,97.5,0,0,True,0,https://www.bikedekho.com/hayasa/nirbhar,budget,5,Unknown,3,895.0,92.0,29
Green Vista,Green,Vida VX2,54499.0,1.38,60.0,25.0,8.15,250.0,94.0,0,0,False,0,https://www.bikedekho.com/green-ev/vista,budget,5,Unknown,3,908.3166666666667,84.0,26
Odysse Snap,Odysse,Bajaj Chetak C2501,79999.0,2.16,105.0,60.0,4.0,1.2,90.0,0,0,True,0,https://www.bikedekho.com/odysse-electric/snap,budget,5,Unknown,3,761.8952380952381,66.24,48
Avon E Mate 306,Avon,E Mate 306 EMI,100689.0,1.15,65.0,24.0,8.15,188.0,97.5,0,0,False,0,https://www.bikedekho.com/avon/e-mate,budget,5,Unknown,3,1549.0615384615385,73.2,5
OPG Faast F2B,OPG,Faast F2B EMI,89999.0,2.2,81.0,70.0,8.15,2.3,97.5,0,0,True,1,https://www.bikedekho.com/opg-mobility/opg-faast-f2b,budget,5,Unknown,3,1111.0987654320988,60.86,47
Komaki CAT 2.0 NXT,Komaki,CAT 2.0 NXT EMI,74999.0,2.7,120.0,70.0,8.15,7.0,97.5,0,0,True,1,https://www.bikedekho.com/komaki/cat-2-nxt,budget,5,Unknown,3,624.9916666666667,77.4,39
Avon E Scoot 504,Avon,E Scoot 504 EMI,66006.0,1.15,65.0,24.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/avon/e-scoot,budget,5,Unknown,3,1015.4769230769231,85.6,5
Gemopai Ryder SuperMax,Gemopai,Bajaj Chetak C2501,79999.0,1.8,100.0,60.0,65.0,2.7,80.0,1,0,True,1,https://www.bikedekho.com/gemopai/ryder-supermax,budget,5,Unknown,3,799.99,64.54,23
ADMS Phantom,ADMS,Ather 450X,149000.0,3.0,123.0,60.0,8.15,2.0,70.0,0,0,True,0,https://www.bikedekho.com/adms/phantom,premium,5,Unknown,3,1211.3821138211383,73.60000000000001,1
Ujaas eGo Li,Ujaas,Vida VX2,60774.0,1.5,75.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/ujaas-energy/ego-li,budget,5,Unknown,3,810.32,90.0,69
e-Sprinto Roamy,e-Sprinto,Vida VX2,54999.0,1.8,100.0,25.0,8.15,250.0,73.0,0,0,False,0,https://www.bikedekho.com/e-sprinto-electric/roamy,budget,5,Unknown,3,549.99,100.0,85
Hayasa Nirbhar vs TVS Orbiter,Hayasa,Ola S1 X,80550.0,1.6,90.0,25.0,44.5,230.0,97.5,0,0,True,0,https://www.bikedekho.com/compare/nirbhar-vs-orbiter,budget,5,Unknown,3,895.0,92.0,29
Bajaj Chetak vs GT Drive Pro,Bajaj,Ather 450X,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-drive-pro,mid,8,India,2,845.6692913385826,77.4,8
Ola S1 X vs EeVe Xeniaa,Ola,Ola S1 X,84999.0,2.0,108.0,101.0,8.15,7.0,105.0,1,1,True,0,https://www.bikedekho.com/compare/s1x-vs-xeniaa,budget,8,India,3,787.0277777777778,85.00000000000001,51
GoBike E-Smart,GoBike,Bajaj Chetak C2501,71780.0,2.02,123.0,25.0,45.0,7.0,97.5,0,0,False,0,https://www.bikedekho.com/birla-e-bike/e-smart,budget,5,Unknown,3,583.5772357723578,60.6,24
DAO Model 703,DAO,Model 703 EMI,89999.0,2.16,111.0,70.0,8.15,2.5,106.0,0,0,True,0,https://www.bikedekho.com/dao/model-703,budget,5,Unknown,3,810.8018018018018,72.9,12
Vegh L25,Vegh,L25 EMI,76395.0,1.34,70.0,25.0,45.0,250.0,97.5,0,0,True,0,https://www.bikedekho.com/vegh/l25,budget,5,Unknown,3,1091.357142857143,88.0,73
Shema Bold,Shema,Bajaj Chetak C2501,82200.0,1.8,90.0,25.0,8.15,250.0,97.5,0,1,False,0,https://www.bikedekho.com/shema-e-vehicle/bold,budget,5,Unknown,3,913.3333333333334,96.0,62
Corrit Electric Transit,Corrit,Bajaj Chetak C2501,129000.0,2.9,130.0,70.0,3.0,7.0,97.5,0,0,True,0,https://www.bikedekho.com/corrit-electric/transit,mid,5,Unknown,3,992.3076923076923,81.4,11
Omega Vextra,Omega,Bajaj Chetak C2501,99900.0,3.45,110.0,70.0,4.0,3.0,110.0,0,0,True,0,https://www.bikedekho.com/omega-seiki-mobility/vextra,mid,5,Unknown,3,908.1818181818181,72.6,52
Greta Harper ZX Series-I,Greta,Vida VX2,41999.0,2.02,80.0,60.0,8.15,1.2,97.5,0,0,True,0,https://www.bikedekho.com/greta-electric/harper-zx-series-1,budget,5,Unknown,3,524.9875,56.24,27
e-Sprinto LS,e-Sprinto,Bajaj Chetak C2501,76000.0,1.74,70.0,25.0,8.15,250.0,90.0,0,0,False,0,https://www.bikedekho.com/e-sprinto-electric/e-sprinto,budget,5,Unknown,3,1085.7142857142858,88.0,85
White Carbon Motors O3,White,O3 EMI,55900.0,0.96,60.0,25.0,8.15,250.0,43.0,0,0,True,0,https://www.bikedekho.com/white-carbon-motors/o3,budget,5,Unknown,3,931.6666666666666,84.0,77
BGauss OoWah,BGauss,Bajaj Chetak C2501,94990.0,2.3,105.0,60.0,5.155,2.4,97.0,0,0,True,1,https://www.bikedekho.com/bgauss/oowah,mid,5,Unknown,3,904.6666666666666,66.48,6
Yakuza Amber,Yakuza,Vida VX2,43505.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/amber,budget,5,Unknown,3,791.0,82.0,79
Hayasa Ira,Hayasa,Bajaj Chetak C2501,76750.0,2.02,90.0,25.0,8.15,230.0,97.5,0,0,False,0,https://www.bikedekho.com/hayasa/ira,budget,5,Unknown,3,852.7777777777778,92.0,29
eblu Feo,eblu,Bajaj Chetak C2501,99999.0,2.36,110.0,60.0,5.0,2.6,97.5,1,0,True,0,https://www.bikedekho.com/eblu/feo,mid,5,Unknown,3,909.0818181818182,68.52,86
Yakuza Unique,Yakuza,Vida VX2,63000.0,2.58,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/unique,budget,5,Unknown,3,1145.4545454545455,82.0,79
Avon E-Zap Dx,Avon,Bajaj Chetak C2501,94799.0,1.44,123.0,24.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/avon/e-zap-dx,mid,5,Unknown,3,770.7235772357724,108.80000000000001,5
GoBike Spark,GoBike,Bajaj Chetak C2501,69182.0,2.02,123.0,25.0,45.0,7.0,97.5,0,0,False,0,https://www.bikedekho.com/birla-e-bike/birla-spark,budget,5,Unknown,3,562.4552845528456,60.6,24
Wroley Posh,Wroley,Bajaj Chetak C2501,82900.0,1.8,90.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/wroley/posh,budget,5,Unknown,3,921.1111111111111,96.0,78
GoBike E-Smart vs TVS Orbiter,GoBike,Ola S1 X,71780.0,2.02,123.0,25.0,45.0,7.0,97.5,0,0,False,0,https://www.bikedekho.com/compare/e-smart-vs-orbiter,budget,5,Unknown,3,583.5772357723578,60.6,24
Ola S1 Z vs Komaki XGT VP,Ola,Ola S1 Z,59999.0,3.0,146.0,70.0,8.15,3.0,97.5,0,0,False,1,https://www.bikedekho.com/compare/s1-z-vs-xgt-vp,budget,8,India,3,410.95205479452056,87.0,51
Bajaj Chetak vs DAO Model 703,Bajaj,DAO Model 703,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-model-703,mid,8,India,2,845.6692913385826,77.4,8
Omega Mopido,Omega,Bajaj Chetak C2501,83790.0,2.15,100.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/omega-seiki-mobility/mopido,budget,5,Unknown,3,837.9,100.0,52
Wroley Mars,Wroley,Bajaj Chetak C2501,71900.0,1.44,75.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/wroley/mars,budget,5,Unknown,3,958.6666666666666,90.0,78
Odysse Electric Trot,Odysse,Bajaj Chetak C2501,99999.0,1.8,75.0,25.0,8.15,250.0,110.0,0,1,False,0,https://www.bikedekho.com/odysse-electric/trot,budget,5,Unknown,3,1333.32,90.0,48
Enigma GT 450 Pro,Enigma,GT 450 Pro EMI,86902.0,2.4,120.0,60.0,57.0,7.0,97.5,0,0,False,0,https://www.bikedekho.com/enigma/gt-450-pro,budget,5,Unknown,3,724.1833333333333,73.4,18
NIJ Automotive Accelero Plus,NIJ,Vida VX2,55200.0,1.92,190.0,25.0,8.15,250.0,86.0,0,0,True,0,https://www.bikedekho.com/nij-automotive/accelero-plus,budget,5,Unknown,3,290.5263157894737,136.0,45
Deltic ZGS,Deltic,Bajaj Chetak C2501,102490.0,1.44,75.0,45.0,8.15,2.0,97.5,0,0,True,0,https://www.bikedekho.com/deltic/zgs,budget,5,Unknown,3,1366.5333333333333,48.4,13
Rowwet Zepop,Rowwet,Vida VX2,61770.0,1.15,123.0,55.0,7.0,2.0,97.5,0,0,False,0,https://www.bikedekho.com/rowwet/zepop,budget,5,Unknown,3,502.1951219512195,71.60000000000001,59
iScoot 1,iScoot,Scoot 1 EMI,107039.0,2.16,150.0,65.0,8.15,1.5,97.5,0,0,False,1,https://www.bikedekho.com/iscoot/scoot-1,mid,5,Unknown,3,713.5933333333334,86.3,88
Stella Moto BUZZ,Stella,Bajaj Chetak C2501,95000.0,2.02,90.0,55.0,8.15,2.0,97.5,0,0,False,0,https://www.bikedekho.com/stella/buzz,mid,5,Unknown,3,1055.5555555555557,58.4,66
Herald Legend,Herald,Vida VX2,63761.0,2.02,123.0,25.0,8.15,2.0,97.5,0,0,False,0,https://www.bikedekho.com/herald/herald-legend,budget,5,Unknown,3,518.3821138211382,59.6,30
TVS iQube vs Omega Mopido,TVS,Ather 450X,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/compare/iqube-electric-vs-mopido,mid,9,India,5,1226.8297872340424,68.47999999999999,68
Wroley Mars  vs TVS Orbiter,Wroley,Ola S1 X,71900.0,1.44,75.0,25.0,4.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/compare/mars-vs-orbiter,budget,5,Unknown,3,958.6666666666666,90.0,78
Bajaj Chetak vs AMO Electric Jaunty I-Pro,Bajaj,Ather 450X,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-jaunty-i-pro,mid,8,India,2,845.6692913385826,77.4,8
Yakuza Sophie,Yakuza,Vida VX2,57000.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/sophie,budget,5,Unknown,3,1036.3636363636363,82.0,79
Jitendra Yunik,Jitendra,Bajaj Chetak C2501,124083.0,3.8,130.0,72.0,8.15,2.5,150.0,1,1,True,0,https://www.bikedekho.com/jitendra-ev/yunik,mid,5,Unknown,3,954.4846153846154,81.3,34
GoBike Electro,GoBike,Bajaj Chetak C2501,76109.0,2.02,123.0,50.0,45.0,7.0,97.5,0,0,False,0,https://www.bikedekho.com/birla-e-bike/electro,budget,5,Unknown,3,618.7723577235772,70.60000000000001,24
Avon E-Star Dx,Avon,Bajaj Chetak C2501,99689.0,2.02,123.0,24.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/avon/e-star-dx,mid,5,Unknown,3,810.479674796748,60.2,5
Geliose Hope,Geliose,Vida VX2,46999.0,1.15,50.0,25.0,312.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/geliose/hope,budget,5,Unknown,3,939.98,80.0,22
Raftaar Electrica,Raftaar,Bajaj Chetak C2501,70900.0,1.92,100.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/raftaar/electrica,budget,5,Unknown,3,709.0,100.0,56
Fujiyama Ozone,Fujiyama,Bajaj Chetak C2501,79999.0,2.05,123.0,70.0,8.15,3.7,97.5,0,0,True,0,https://www.bikedekho.com/fujiyama/ozone,budget,5,Unknown,3,650.3983739837398,77.94,20
Kinetic Green E Luna vs Yakuza Sophie,Kinetic,TVS XL100,69990.0,2.0,110.0,50.0,4.0,1.2,96.0,0,0,False,0,https://www.bikedekho.com/compare/e-luna-vs-sophie,budget,5,Unknown,3,636.2727272727273,64.24,38
VLF Tennis 1500,VLF,Tennis 1500 EMI,129000.0,2.02,150.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/vlf/tennis-1500,mid,5,Unknown,3,860.0,81.4,72
Lectrix EV LXS 3.0,Lectrix,LXS 3.0 EMI,101990.0,3.0,120.0,54.0,8.15,1.2,133.94,0,0,False,0,https://www.bikedekho.com/lectrix-ev/lxs-3,mid,5,Unknown,3,849.9166666666666,69.83999999999999,41
ABZO Sigilo,ABZO,Bajaj Chetak C2501,99900.0,2.02,100.0,85.0,8.15,7.0,97.5,0,0,False,1,https://www.bikedekho.com/abzo/sigilo,mid,5,Unknown,3,999.0,75.4,0
One Moto Electa,One,Ather 450X,199000.0,3.96,150.0,85.0,8.15,4.0,115.0,0,0,False,0,https://www.bikedekho.com/one-moto/electa,premium,5,Unknown,3,1326.6666666666667,94.8,53
Yakuza Utility Pro,Yakuza,Vida VX2,46980.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/utility-pro,budget,5,Unknown,3,854.1818181818181,82.0,79
Quantum Plasma,Quantum,Bajaj Chetak C2501,89095.0,2.18,100.0,60.0,8.15,1.5,97.5,1,1,True,0,https://www.bikedekho.com/quantum-energy/plasma,budget,5,Unknown,3,890.95,64.3,55
Bajaj Chetak vs Stella Moto SA 2000,Bajaj,Stella Moto SA 2000,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-sa2000,mid,8,India,2,845.6692913385826,77.4,8
Vida VX2 vs Komaki XGT VP,Vida,Vida VX2,44990.0,2.2,92.0,70.0,3.53,7.0,97.5,1,1,False,1,https://www.bikedekho.com/compare/vx2-vs-xgt-vp,budget,5,Unknown,3,489.0217391304348,66.20000000000002,75
TVS iQube vs Super Eco S 2,TVS,Super Eco S 2,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/compare/iqube-electric-vs-s-2,mid,9,India,5,1226.8297872340424,68.47999999999999,68
Ather Rizta vs VLF Tennis 1500,Ather,VLF Tennis 1500,75999.0,2.9,123.0,80.0,8.3,4.3,125.0,1,1,True,0,https://www.bikedekho.com/compare/rizta-vs-tennis-1500,budget,9,India,4,617.8780487804878,82.06,4
Ather 450X vs JHEV Alfa R3,Ather,Ather 450X,147999.0,2.9,126.0,90.0,4.3,6.4,108.0,0,0,False,1,https://www.bikedekho.com/compare/450x-vs-alfa-r3,premium,9,India,4,1174.595238095238,87.68,4
Jitendra Primo,Jitendra,Bajaj Chetak C2501,92007.0,2.04,82.0,52.0,8.15,1.07,83.0,1,1,True,0,https://www.bikedekho.com/jitendra-ev/primo,mid,5,Unknown,3,1122.0365853658536,53.81400000000001,34
OPG Freedum,OPG,Vida VX2,49999.0,1.44,75.0,25.0,8.15,250.0,97.5,0,0,True,1,https://www.bikedekho.com/opg-mobility/opg-freedum,budget,5,Unknown,3,666.6533333333333,90.0,47
Odysse Electric Hawk,Odysse,Bajaj Chetak C2501,99400.0,2.02,70.0,45.0,8.15,1.8,97.5,1,0,False,0,https://www.bikedekho.com/odysse-electric/odysse-hawk,budget,5,Unknown,3,1420.0,46.36,48
Kyte Energy Stella R,Kyte,Vida VX2,54999.0,2.02,50.0,40.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/kyte-energy/stella-r,budget,5,Unknown,3,1099.98,86.0,40
EVeium COSMO,EVeium,Bajaj Chetak C2501,139200.0,2.16,100.0,75.0,8.15,2.0,102.0,0,0,True,0,https://www.bikedekho.com/eveium/cosmo,mid,5,Unknown,3,1392.0,70.4,15
Lectrix EV SX25,Lectrix,SX25 EMI,54999.0,1.4,60.0,25.0,8.15,250.0,97.5,0,0,True,0,https://www.bikedekho.com/lectrix-ev/sx25,budget,5,Unknown,3,916.65,84.0,41
NDS Eco Motors SQD,NDS,Bajaj Chetak C2501,119863.0,2.3,110.0,68.0,8.15,2.0,97.5,0,0,True,0,https://www.bikedekho.com/nds-eco-motors/sqd,mid,5,Unknown,3,1089.6636363636364,71.60000000000001,44
Joy e-bike Wolf Plus,Joy,Bajaj Chetak C2501,71099.0,2.12,100.0,55.0,8.15,1.5,85.0,1,0,True,0,https://www.bikedekho.com/joy-e/wolfplus,budget,5,Unknown,3,710.99,62.3,35
iVOOMi Jeet X,iVOOMi,Bajaj Chetak C2501,84999.0,2.0,100.0,70.0,5.0,2.5,96.0,0,0,True,0,https://www.bikedekho.com/ivoomi/jeet,budget,5,Unknown,3,849.99,68.5,89
Lectrix LXS 2.0,Lectrix,LXS 2.0 EMI,84990.0,2.3,98.0,55.0,8.15,1.2,100.0,0,0,True,0,https://www.bikedekho.com/lectrix-ev/lxs-2,budget,5,Unknown,3,867.2448979591836,61.440000000000005,41
Bajaj Chetak vs OPG Motofaast,Bajaj,Ather 450X,107400.0,3.0,127.0,63.0,8.15,7.0,97.5,1,0,True,1,https://www.bikedekho.com/compare/chetak-vs-opg-motofaast,mid,8,India,2,845.6692913385826,77.4,8
Jitendra Primo vs Ather Rizta,Jitendra,Ola S1 Pro,92007.0,2.04,82.0,52.0,3.54,1.07,83.0,1,1,True,0,https://www.bikedekho.com/compare/primo-vs-rizta,mid,5,Unknown,3,1122.0365853658536,53.81400000000001,34
TVS Orbiter vs EeVe Xeniaa,TVS,Ola S1 Pro,91550.0,1.8,86.0,68.0,8.15,1.8,101.0,1,1,True,0,https://www.bikedekho.com/compare/orbiter-vs-xeniaa,mid,9,India,5,1064.5348837209303,61.96,68
